id,link
0,https://tracker.gg/valorant/profile/riot/gyro%23YNXO/overview
1,https://tracker.gg/valorant/profile/riot/Tutito%23UwU/overview
2,https://tracker.gg/valorant/profile/riot/vbossi32%23vale/overview
3,https://tracker.gg/valorant/profile/riot/Zenin%20AlarVous%232413/overview
4,https://tracker.gg/valorant/profile/riot/ANM%20Bone%23mvu/overview
5,https://tracker.gg/valorant/profile/riot/Pacvis%23cls/overview
6,https://tracker.gg/valorant/profile/riot/Yandel%23666/overview
7,https://tracker.gg/valorant/profile/riot/ONI%20Sigmaroy%23666/overview
8,https://tracker.gg/valorant/profile/riot/PsychoDxni%237399/overview
9,https://tracker.gg/valorant/profile/riot/Busco%20egirl%23swift/overview
10,https://tracker.gg/valorant/profile/riot/Deriko%23QTP/overview
11,https://tracker.gg/valorant/profile/riot/Yisus0525%237957/overview
12,https://tracker.gg/valorant/profile/riot/JACCIS%23593/overview
13,https://tracker.gg/valorant/profile/riot/JACCIS%23ECU/overview
14,https://tracker.gg/valorant/profile/riot/Kenny%20la%20panda%23kenny/overview
15,https://tracker.gg/valorant/profile/riot/BS%20Nightmare%234525/overview
16,https://tracker.gg/valorant/profile/riot/zLethal%23Once/overview
17,https://tracker.gg/valorant/profile/riot/Aguita%20de%20Coco%23TENzZ/overview
18,https://tracker.gg/valorant/profile/riot/Xpromaster%230914/overview
19,https://tracker.gg/valorant/profile/riot/Mechaz%23FaZe/overview
20,https://tracker.gg/valorant/profile/riot/Lizzard97%23LAN/overview
21,https://tracker.gg/valorant/profile/riot/care%23ooo/overview
22,https://tracker.gg/valorant/profile/riot/CDC%20JuuzouJoseph%23Okami/overview
23,https://tracker.gg/valorant/profile/riot/CDCGatoEstirado%23NR23/overview
24,https://tracker.gg/valorant/profile/riot/NR23%20Mithyc%23Ghost/overview
25,https://tracker.gg/valorant/profile/riot/CDC%20Liowil%C3%B8%23wenas/overview
26,https://tracker.gg/valorant/profile/riot/KTANA%20Juns33%23noCAP/overview
27,https://tracker.gg/valorant/profile/riot/alex%20%CB%87%23idc/overview
28,https://tracker.gg/valorant/profile/riot/slider%232152/overview
29,https://tracker.gg/valorant/profile/riot/XersBreak%23noCAP/overview
30,https://tracker.gg/valorant/profile/riot/RDY%20%C3%91efry%20%E3%83%85%230802/overview
31,https://tracker.gg/valorant/profile/riot/Kramz%2315y/overview
32,https://tracker.gg/valorant/profile/riot/DarthRomero%23kyo/overview
33,https://tracker.gg/valorant/profile/riot/TurcaLu%23Team/overview
34,https://tracker.gg/valorant/profile/riot/johnWick023%233479/overview
35,https://tracker.gg/valorant/profile/riot/marcoChG%23502GT/overview
36,https://tracker.gg/valorant/profile/riot/Shiro%23mos/overview
37,https://tracker.gg/valorant/profile/riot/CreativeDev%23SCORP/overview
38,https://tracker.gg/valorant/profile/riot/Haidenns%232909/overview
39,https://tracker.gg/valorant/profile/riot/SUPERLG%2320024/overview
40,https://tracker.gg/valorant/profile/riot/Emmaalfarito%232818/overview
41,https://tracker.gg/valorant/profile/riot/Nathe%238306/overview
42,https://tracker.gg/valorant/profile/riot/mentaconchispas%23choco/overview
43,https://tracker.gg/valorant/profile/riot/AKIRA55%23LAS/overview
44,https://tracker.gg/valorant/profile/riot/Capitan%20Milanga%23LAS/overview
45,https://tracker.gg/valorant/profile/riot/PepinilloRick00%231129/overview
46,https://tracker.gg/valorant/profile/riot/Breaking%23WIN/overview
47,https://tracker.gg/valorant/profile/riot/Andygod189%239239/overview
48,https://tracker.gg/valorant/profile/riot/loky32%23LAN/overview
49,https://tracker.gg/valorant/profile/riot/xBlueBlacK%23Vamos/overview
50,https://tracker.gg/valorant/profile/riot/HunterLover%238661/overview
51,https://tracker.gg/valorant/profile/riot/PERTURBADOR%239744/overview
52,https://tracker.gg/valorant/profile/riot/Nhl23%23LAS/overview
53,https://tracker.gg/valorant/profile/riot/NoMatoPeroAyudo%23smurf/overview
54,https://tracker.gg/valorant/profile/riot/panxd1401%232109/overview
55,https://tracker.gg/valorant/profile/riot/nuse%231509/overview
56,https://tracker.gg/valorant/profile/riot/%E5%B0%8B%E6%89%BE%E4%BA%8C%E4%BA%BA%E7%B5%84%232185/overview
57,https://tracker.gg/valorant/profile/riot/FIFTING%232201/overview
58,https://tracker.gg/valorant/profile/riot/ZEN%20tones%232101/overview
59,https://tracker.gg/valorant/profile/riot/JOSXO%232890/overview
60,https://tracker.gg/valorant/profile/riot/culosinano%232004/overview
61,https://tracker.gg/valorant/profile/riot/Yukiteru%20Jaeger%23LAN/overview
62,https://tracker.gg/valorant/profile/riot/RICKBILLIE%23LAS/overview
63,https://tracker.gg/valorant/profile/riot/kehudemo%238836/overview
64,https://tracker.gg/valorant/profile/riot/Jun%234237/overview
65,https://tracker.gg/valorant/profile/riot/Vizadnio%23LAS/overview
66,https://tracker.gg/valorant/profile/riot/Takemichi%239019/overview
67,https://tracker.gg/valorant/profile/riot/SantiGG%23SGG/overview
68,https://tracker.gg/valorant/profile/riot/LatuCerru23%232323/overview
69,https://tracker.gg/valorant/profile/riot/JOSISA%238460/overview
70,https://tracker.gg/valorant/profile/riot/virtual%20assassin%231854/overview
71,https://tracker.gg/valorant/profile/riot/Andriuwkun%237376/overview
72,https://tracker.gg/valorant/profile/riot/doja%20by%20nicole%23LAN/overview
73,https://tracker.gg/valorant/profile/riot/Frank%2023%239980/overview
74,https://tracker.gg/valorant/profile/riot/WANTAN%20FRITO%23depre/overview
