id,link
1,https://tracker.gg/valorant/profile/riot/CDC%20JuuzouJoseph%23Okami/overview
2,https://tracker.gg/valorant/profile/riot/CDCGatoEstirado%23NR23/overview
3,https://tracker.gg/valorant/profile/riot/NR23%20Mithyc%23Ghost/overview
4,https://tracker.gg/valorant/profile/riot/CDC%20Liowil%C3%B8%23wenas/overview
5,https://tracker.gg/valorant/profile/riot/KTANA%20Juns33%23noCAP/overview
6,https://tracker.gg/valorant/profile/riot/alex%20%CB%87%23idc/overview
7,https://tracker.gg/valorant/profile/riot/slider%232152/overview
8,https://tracker.gg/valorant/profile/riot/XersBreak%23noCAP/overview
9,https://tracker.gg/valorant/profile/riot/RDY%20%C3%91efry%20%E3%83%85%230802/overview
10,https://tracker.gg/valorant/profile/riot/Kramz%2315y/overview
